X.step.,meanI,SdI,meanS,SdS,meanE,SdE,meanR,SdR
194,0.01484,0.006048646331947305,0.47048,0.03193759220602529,0.00764,0.0043083213265796725,0.50704,0.032252169678637005
195,0.01484,0.006048646331947305,0.47048,0.03193759220602529,0.00764,0.0043083213265796725,0.50704,0.032252169678637005
196,0.014880000000000001,0.005542562584220407,0.46688,0.03196722811676651,0.00732,0.00397153134502169,0.51092,0.03223690368480933
197,0.014880000000000001,0.005542562584220407,0.46688,0.03196722811676651,0.00732,0.00397153134502169,0.51092,0.03223690368480933
198,0.01528,0.005624436479709386,0.46376,0.03200673398533758,0.00672,0.0032010202455224957,0.51424,0.03215432176493955
199,0.01528,0.005624436479709386,0.46376,0.03200673398533758,0.00672,0.0032010202455224957,0.51424,0.03215432176493955
200,0.0154,0.005349041493385444,0.46052,0.031825570517675095,0.00636,0.003538476554469538,0.51772,0.03191573087916083
201,0.0154,0.005349041493385444,0.46052,0.031825570517675095,0.00636,0.003538476554469538,0.51772,0.03191573087916083
202,0.01436,0.005169612940944774,0.45732,0.03245243929701634,0.00644,0.0039026939936617202,0.52188,0.03151005022696921
203,0.01436,0.005169612940944774,0.45732,0.03245243929701634,0.00644,0.0039026939936617202,0.52188,0.03151005022696921
204,0.01368,0.005036357608349875,0.45364,0.032055283877853835,0.00688,0.0039416147110812655,0.5258,0.03162342195788638
205,0.01368,0.005036357608349875,0.45364,0.032055283877853835,0.00688,0.0039416147110812655,0.5258,0.03162342195788638
206,0.01316,0.00483338728564774,0.44984,0.03167910532647212,0.0074800000000000005,0.003955053600090881,0.52952,0.03193759220602529
207,0.01316,0.00483338728564774,0.44984,0.03167910532647212,0.0074800000000000005,0.003955053600090881,0.52952,0.03193759220602529
208,0.01324,0.005640813373105343,0.44628,0.03224652488791527,0.00736,0.00369091548844689,0.53312,0.03196722811676651
209,0.01324,0.005640813373105343,0.44628,0.03224652488791527,0.00736,0.00369091548844689,0.53312,0.03196722811676651
210,0.01392,0.0059790109072129505,0.443,0.03237598001038197,0.00684,0.0037272301911686627,0.53624,0.03200673398533757
211,0.01392,0.0059790109072129505,0.443,0.03237598001038197,0.00684,0.0037272301911686627,0.53624,0.03200673398533757
212,0.01424,0.005564317806619355,0.43984,0.03276842681482233,0.00644,0.003459149358688388,0.53948,0.03182557051767509
213,0.01424,0.005564317806619355,0.43984,0.03276842681482233,0.00644,0.003459149358688388,0.53948,0.03182557051767509
214,0.01432,0.005164399326946287,0.43652,0.03270351663047875,0.0064800000000000005,0.003535476182458976,0.54268,0.032452439297016335
215,0.01432,0.005164399326946287,0.43652,0.03270351663047875,0.0064800000000000005,0.003535476182458976,0.54268,0.032452439297016335
216,0.0138,0.005050762722761054,0.4336,0.03241063065711367,0.00624,0.003972147930738918,0.54636,0.03205528387785382
217,0.0138,0.005050762722761054,0.4336,0.03241063065711367,0.00624,0.003972147930738918,0.54636,0.03205528387785382
218,0.01332,0.005651223454316087,0.43052,0.03250572320094304,0.006,0.003854496446637726,0.55016,0.031679105326472105
219,0.01332,0.005651223454316087,0.43052,0.03250572320094304,0.006,0.003854496446637726,0.55016,0.031679105326472105
220,0.01268,0.005593144491797297,0.42732,0.03232894703399,0.00628,0.0035687990319731152,0.55372,0.032246524887915254
221,0.01268,0.005593144491797297,0.42732,0.03232894703399,0.00628,0.0035687990319731152,0.55372,0.032246524887915254
222,0.01248,0.00559241468784427,0.42484,0.03210719291272119,0.00568,0.003139218673101799,0.557,0.03237598001038196
223,0.01248,0.00559241468784427,0.42484,0.03210719291272119,0.00568,0.003139218673101799,0.557,0.03237598001038196
224,0.01252,0.005552127740693615,0.42196,0.03218946462203218,0.00536,0.0031671786195545185,0.56016,0.03276842681482232
225,0.01252,0.005552127740693615,0.42196,0.03218946462203218,0.00536,0.0031671786195545185,0.56016,0.03276842681482232
226,0.01168,0.0053507199591861145,0.41928,0.03204017885756086,0.00556,0.0037534202089968723,0.56348,0.032703516630478734
227,0.01168,0.0053507199591861145,0.41928,0.03204017885756086,0.00556,0.0037534202089968723,0.56348,0.032703516630478734
228,0.01164,0.004758494016610975,0.41644,0.03206190440828047,0.00552,0.0036040793214220522,0.5664,0.03241063065711366
229,0.01164,0.004758494016610975,0.41644,0.03206190440828047,0.00552,0.0036040793214220522,0.5664,0.03241063065711366
230,0.01124,0.004405747637450193,0.41315999999999997,0.03227203249925007,0.0061200000000000004,0.00392605113963387,0.56948,0.03250572320094302
231,0.01124,0.004405747637450193,0.41315999999999997,0.03227203249925007,0.0061200000000000004,0.00392605113963387,0.56948,0.03250572320094302
232,0.01088,0.00464512032752036,0.40976,0.03263562595742041,0.00668,0.004210967216443175,0.57268,0.03232894703398998
233,0.01088,0.00464512032752036,0.40976,0.03263562595742041,0.00668,0.004210967216443175,0.57268,0.03232894703398998
234,0.01168,0.005132688359516713,0.40676,0.032920163165712626,0.0064,0.004333071682315171,0.57516,0.032107192912721176
235,0.01168,0.005132688359516713,0.40676,0.032920163165712626,0.0064,0.004333071682315171,0.57516,0.032107192912721176
236,0.0122,0.005256676997992599,0.40372,0.03250873665929934,0.00604,0.0038648600048569494,0.57804,0.03218946462203217
